feature_a,feature_b,spearman_correlation,abs_spearman_correlation
eth_ret_24h,eth_ret_168h,0.32092020625970596,0.32092020625970596
vol_6h,dow_sin,0.32069066518726685,0.32069066518726685
vol_168h,volume,0.31884793769403474,0.31884793769403474
dow_sin,volume,0.3180362458835311,0.3180362458835311
vol_96h,funding_std_168h,0.31362792284911545,0.31362792284911545
bb_pctb_20h,eth_ret_1h,0.3087651467877228,0.3087651467877228
vol_96h,low,-0.30745253165310066,0.30745253165310066
ret_96h,oi_chg_24h,0.3057493403537804,0.3057493403537804
vol_96h,dist_high_24h,-0.30357937247900163,0.30357937247900163
vol_96h,open,-0.3034956993427113,0.3034956993427113
vol_96h,close,-0.3033707049035248,0.3033707049035248
bb_bw_20h,dow_sin,0.3024397900117503,0.3024397900117503
ret_12h,taker_buy_ratio_24h,0.3010907811903425,0.3010907811903425
ret_96h,rsi_14h,0.30008226298858004,0.30008226298858004
ret_96h,taker_buy_ratio_24h,0.3000472691136694,0.3000472691136694
vol_96h,high,-0.29955444320614,0.29955444320614
ret_96h,dist_high_24h,0.2977762489110593,0.2977762489110593
vol_24h,volume_z_168h,0.2969148738935199,0.2969148738935199
vol_24h,dow_sin,0.29529902568965316,0.29529902568965316
ret_6h,ret_48h,0.29506689285231885,0.29506689285231885
ret_168h,eth_ret_24h,0.2942161767408273,0.2942161767408273
ret_12h,ret_96h,0.2915691201313084,0.2915691201313084
dist_low_168h,taker_buy_ratio_24h,0.2907487121359081,0.2907487121359081
macd_hist_1h,eth_ret_24h,0.2901537839232128,0.2901537839232128
dist_high_24h,taker_buy_ratio_24h,0.28792237607384785,0.28792237607384785
vol_168h,dist_high_96h,-0.2875887227108497,0.2875887227108497
bb_pctb_20h,oi_chg_1h,0.28626709911370224,0.28626709911370224
ret_96h,bb_pctb_20h,0.2827029421730171,0.2827029421730171
ret_3h,taker_buy_ratio_1h,0.2815329376074881,0.2815329376074881
dist_high_24h,volume,-0.2805169622964749,0.2805169622964749
funding_last,lsr_top_level,0.27975854178051907,0.27975854178051907
ret_6h,eth_ret_1h,0.2796222442749132,0.2796222442749132
dist_low_96h,funding_std_168h,0.2740648825094133,0.2740648825094133
ret_3h,ret_24h,0.2721092767439891,0.2721092767439891
ret_6h,dist_high_168h,0.26928716562040855,0.26928716562040855
dist_low_168h,oi_chg_24h,0.2681891736496181,0.2681891736496181
ret_24h,lsr_top_chg_24h,-0.267746631508141,0.267746631508141
bb_bw_20h,dist_high_96h,-0.2634522477015466,0.2634522477015466
ret_1h,dist_low_24h,0.26272051473127406,0.26272051473127406
ret_6h,oi_chg_24h,0.26271192542751926,0.26271192542751926
dist_low_24h,volume,0.2618125419434002,0.2618125419434002
vol_168h,dist_high_24h,-0.2607311518492022,0.2607311518492022
bb_bw_20h,dist_high_168h,-0.2606261271121644,0.2606261271121644
ret_1h,dist_high_24h,0.26051786452371656,0.26051786452371656
dist_high_24h,dist_low_24h,0.2596181222055806,0.2596181222055806
ret_6h,oi_chg_1h,0.25724826890518526,0.25724826890518526
ret_168h,dist_high_24h,0.2563522565102645,0.2563522565102645
vol_96h,eth_ret_168h,-0.25597370788205176,0.25597370788205176
dist_low_24h,taker_buy_ratio_24h,0.2545463191459619,0.2545463191459619
vol_24h,dist_low_96h,0.2539762172123735,0.2539762172123735
dist_high_24h,dist_low_96h,0.25322525263663787,0.25322525263663787
atr_pct_14h,dist_low_96h,0.248545337533297,0.248545337533297
ret_6h,dist_low_168h,0.24799007866036188,0.24799007866036188
atr_pct_14h,low,-0.24795676130110847,0.24795676130110847
eth_ret_168h,btc_eth_ret_spread_24h,-0.24732001008204504,0.24732001008204504
vol_6h,dist_high_168h,-0.243191464411083,0.243191464411083
low,volume,-0.24287877550391973,0.24287877550391973
atr_pct_14h,close,-0.2415159089964266,0.2415159089964266
atr_pct_14h,open,-0.24134049883366598,0.24134049883366598
ret_24h,eth_ret_168h,0.2405658732920034,0.2405658732920034
ret_3h,dist_high_96h,0.2390816314339931,0.2390816314339931
rsi_14h,lsr_top_chg_24h,-0.23884016081702797,0.23884016081702797
vol_6h,dist_high_96h,-0.23800913702605841,0.23800913702605841
dist_high_24h,eth_ret_168h,0.23794210470833235,0.23794210470833235
ret_3h,dist_low_96h,0.23626873638604728,0.23626873638604728
vol_ratio_6_96,hour_sin,-0.2357293643874091,0.2357293643874091
atr_pct_14h,high,-0.2356013395557339,0.2356013395557339
vol_ratio_6_96,dist_high_24h,-0.23440865035436922,0.23440865035436922
atr_pct_14h,funding_std_168h,0.23366583815162376,0.23366583815162376
close,volume,-0.23356297256846412,0.23356297256846412
open,volume,-0.23312129165893378,0.23312129165893378
oi_chg_24h,lsr_top_chg_24h,-0.23252928415051555,0.23252928415051555
bb_pctb_20h,taker_buy_ratio_1h,0.23104669612968448,0.23104669612968448
atr_pct_14h,eth_ret_168h,-0.23045033905920168,0.23045033905920168
