feature,dtype,rows,missing_count,missing_ratio,unique_count,is_numeric,infinite_count,is_constant,mean,std,min,q01,q50,q99,max,spearman_to_target
garch_vol_z,float64,271797,0,0.0,264260,True,0,False,-0.002544735507494886,1.0456293288843628,-2.5781705,-1.540323616,-0.2751732,3.0,3.0,-0.0022071712813210064
garman_klass_vol,float64,271797,0,0.0,271797,True,0,False,0.0012391673681061662,0.0008660784298197551,6.014153098825107e-05,0.000232371920065372,0.0010266963527034,0.004252685843024119,0.0195614194823706,-0.21835704655165905
high,float64,271797,0,0.0,197270,True,0,False,81283.28404103062,20616.32522823506,38664.8,42030.0,77500.1,120395.1999999999,126208.5,0.9999815442931406
hma_slope,float64,271797,0,0.0,271775,True,0,False,3.06807344324034e-07,0.0006745368877748055,-0.0166106330050114,-0.001961547162463012,2.4840027885417e-07,0.0019261186600206075,0.0099150922534281,0.0036734159468234844
hour_cos,float64,271797,0,0.0,22,True,0,False,-0.00014274648925873494,0.7071257556923581,-1.0,-1.0,-1.8369701987210294e-16,1.0,1.0,-3.7180737146984424e-05
hour_sin,float64,271797,0,0.0,21,True,0,False,0.00020041539146944753,0.7070877633592035,-1.0,-1.0,1.2246467991473532e-16,1.0,1.0,-0.0003648764536281556
hurst_288,float64,271797,0,0.0,271654,True,0,False,0.5223787809576401,0.03875329991939231,0.3787671535246473,0.43302906196896285,0.5223380018309358,0.6078951533901296,0.6570911388881115,-0.02634143136071485
hurst_48,float64,271797,0,0.0,271773,True,0,False,0.5131641966450753,0.05516334195635376,0.2877710611011055,0.38423802466793044,0.5139580666678188,0.6339365603584561,0.7155114108633375,-0.021789487882659497
kel,float64,271797,0,0.0,271733,True,0,False,0.0024383841785911857,0.3736523140538465,-0.9999999093009068,-0.8927917160864176,0.003446929302202,0.8727321735667292,0.9999982531246716,-0.005933010224724657
last_funding_rate,float64,271797,0,0.0,1995,True,0,False,6.476062612905958e-05,8.97478208009036e-05,-0.00015178,-8.088e-05,5.703e-05,0.00047059,0.00088148,-0.047366377765937696
liquidity_vacuum,float64,271797,0,0.0,271797,True,0,False,0.08339299442077547,0.4769097357515737,-0.9999814710289594,-0.9825361478964774,0.0969440130385675,0.9444096157047751,0.999705716331219,-0.0051857825297380415
log_return,float64,271797,0,0.0,271246,True,0,False,1.4400574385070091e-06,0.001526437265061126,-0.0807223865906397,-0.0042393733331750165,0.0,0.004257462382924815,0.0474969920297541,-0.0007228686711280348
long_squeeze_risk,float64,271797,0,0.0,141473,True,0,False,0.1577961998356075,0.127111634296796,0.0,0.0,0.1463378302575531,0.5037297761222038,0.815637747175536,-0.051650641775204946
low,float64,271797,0,0.0,197533,True,0,False,81136.04430070973,20598.23200883679,38545.0,41939.996,77391.1,120222.112,125829.9,0.9999809109362447
lower_wick_z,float64,271797,0,0.0,271338,True,0,False,3.61316659132177e-05,0.2000095163463068,-0.2896953827059154,-0.2483883089310205,-0.0473264683147535,0.5341729526627182,0.8213944173542979,0.0026002556685085563
macd_hist,float64,271797,0,0.0,271797,True,0,False,-0.000684675894215587,39.56151582947873,-1017.5731326117066,-113.46350163575897,-0.2361852947342342,114.5993218252924,642.9795582678671,-0.0008659273553607338
mean_reversion_z,float64,271797,0,0.0,271511,True,0,False,-0.020979012031275508,0.5368569722550545,-0.9993217880217992,-0.9336780061568857,-0.0480529927432827,0.9320911777663433,0.999987624956616,-0.02850301853328194
mtf1h_atr_pct,float64,271797,60,0.00022075298844358106,22645,True,0,False,0.007032776014448049,0.003526198088297701,0.0012607854474292928,0.001853818863602274,0.006443188152277696,0.01898366149855754,0.038224162771369766,-0.24391423600469403
